table_name,column_name,required_for_publication
building_info,balcony_area,{}
building_info,building_area,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,building_floors_above,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,building_floors_below,{}
building_info,building_manager,"{apartment,mansion}"
building_info,building_structure,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,construction_date,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,created_at,{}
building_info,direction,"{mansion,apartment}"
building_info,exclusive_area,"{mansion,apartment}"
building_info,floor_plan_notes,{}
building_info,floor_plans,{}
building_info,management_association,"{apartment,mansion}"
building_info,management_company,"{apartment,mansion}"
building_info,management_type,"{mansion,apartment}"
building_info,parking_availability,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,parking_capacity,"{office,warehouse,factory,store,apartment,mansion,detached,building}"
building_info,parking_distance,{}
building_info,parking_notes,{}
building_info,parking_type,"{office,warehouse,factory,store,apartment,mansion,detached,building}"
building_info,property_id,{}
building_info,room_count,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,room_floor,"{mansion,apartment}"
building_info,room_type,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,total_floor_area,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
building_info,total_site_area,"{office,warehouse,factory,store,apartment,mansion,detached,building}"
building_info,total_units,"{mansion,apartment,office,store,warehouse,factory,building}"
building_info,updated_at,{}
land_info,building_coverage_ratio,"{land,detached,mansion,apartment,store,warehouse,building,other}"
land_info,created_at,{}
land_info,district_plan,{}
land_info,district_plan_name,{}
land_info,fire_prevention_area,{}
land_info,fire_prevention_district,{}
land_info,flood_hazard,{}
land_info,floor_area_ratio,"{land,detached,mansion,apartment,store,warehouse,building,other}"
land_info,height_district,{}
land_info,land_ownership_ratio,{}
land_info,land_rent,{}
land_info,landscape_district,{}
land_info,landslide_hazard,{}
land_info,land_transaction_notice,{}
land_info,legal_regulations_checked,{}
land_info,legal_restrictions,{}
land_info,location_optimization,{}
land_info,planned_road,{}
land_info,private_road_area,{}
land_info,private_road_ratio,{}
land_info,property_id,{}
land_info,setback,{}
land_info,setback_amount,{}
land_info,storm_surge_hazard,{}
land_info,tsunami_hazard,{}
land_info,updated_at,{}
properties,address,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,address_detail,{}
properties,affiliated_group,{}
properties,brokerage_contract_date,{}
properties,bus_stops,"{mansion,apartment,detached,office,store,warehouse,factory,building,land}"
properties,city,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,commission_split_ratio,{}
properties,company_property_number,{}
properties,contractor_address,{}
properties,contractor_company_name,{}
properties,contractor_contact_person,{}
properties,contractor_email,{}
properties,contractor_license_number,{}
properties,contractor_phone,{}
properties,created_at,{}
properties,elementary_school,"{mansion,apartment,detached,land}"
properties,external_property_id,{}
properties,housing_insurance,{}
properties,internal_memo,{}
properties,investment_property,{}
properties,junior_high_school,"{mansion,apartment,detached,land}"
properties,listing_confirmation_date,{}
properties,listing_start_date,{}
properties,management_fee,"{mansion,apartment}"
properties,move_in_consultation,{}
properties,nearby_facilities,"{mansion,apartment,detached,office,store,warehouse,factory,building,land}"
properties,parking_fee,"{apartment,mansion}"
properties,postal_code,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,prefecture,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,priority_score,{}
properties,property_manager_name,{}
properties,property_name,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,property_name_kana,{}
properties,property_name_public,{}
properties,property_type,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,property_url,{}
properties,repair_reserve_fund,"{mansion,apartment}"
properties,repair_reserve_fund_base,"{apartment,mansion}"
properties,tax_type,"{mansion,apartment,detached,office,store,warehouse,factory,building}"
properties,transportation,"{mansion,apartment,detached,office,store,warehouse,factory,building,land}"
properties,updated_at,{}
properties,zoho_id,{}
properties,zoho_synced_at,{}
properties,zoho_sync_status,{}
